condition,method,visibility_midpoint,visibility_range,n,mean_rms_tre_mm,std_rms_tre_mm
"In-silico, 2 mm noise",A3,0.7500000000000002,"[0.7, 0.8)",802,4.018937571127516,2.640006538185237
"In-silico, 2 mm noise",A3,0.8500000000000002,"[0.8, 0.9)",840,3.880123490556365,2.4331382451134287
"In-silico, 2 mm noise",A3,0.9500000000000002,"[0.9, 1.0]",760,3.75886546949807,2.496737228595394
"In-silico, 2 mm noise",RTOR+A3,0.25,"[0.2, 0.3)",730,5.494148829048627,4.7257944466411335
"In-silico, 2 mm noise",RTOR+A3,0.3500000000000001,"[0.3, 0.4)",808,5.295774838711956,4.704128314205007
"In-silico, 2 mm noise",RTOR+A3,0.45000000000000007,"[0.4, 0.5)",790,4.5780648532547525,2.8551488425578926
"In-silico, 2 mm noise",RTOR+A3,0.55,"[0.5, 0.6)",806,4.428603459306745,2.8718790427130116
"In-silico, 2 mm noise",RTOR+A3,0.6500000000000001,"[0.6, 0.7)",777,4.218171312081767,2.7861374120739413
"In-silico, 2 mm noise",RTOR+A3,0.7500000000000002,"[0.7, 0.8)",802,4.1258462092228365,2.671316546622544
"In-silico, 2 mm noise",RTOR+A3,0.8500000000000002,"[0.8, 0.9)",840,4.039939234689587,2.501007062954473
"In-silico, 2 mm noise",RTOR+A3,0.9500000000000002,"[0.9, 1.0]",760,3.938952206114405,2.5795317390064447
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.25,"[0.2, 0.3)",730,5.374234734251075,3.3089952373855995
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.3500000000000001,"[0.3, 0.4)",808,5.16699978192844,3.368722779797931
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.45000000000000007,"[0.4, 0.5)",790,4.598922642046892,2.888649019510659
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.55,"[0.5, 0.6)",806,4.431572402085619,2.8802209155373255
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.6500000000000001,"[0.6, 0.7)",777,4.219470936550904,2.7848342518693
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.7500000000000002,"[0.7, 0.8)",802,4.101422482186422,2.6717400353178546
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.8500000000000002,"[0.8, 0.9)",840,4.004066259804226,2.4967481637543654
"In-silico, 2 mm noise",RTOR+A3 (cooperative),0.9500000000000002,"[0.9, 1.0]",760,3.893579979005613,2.5726496728765347
"In-silico, 4 mm noise",GeoTransformer,0.25,"[0.2, 0.3)",730,6.658380885728418,8.247190893817017
"In-silico, 4 mm noise",GeoTransformer,0.3500000000000001,"[0.3, 0.4)",808,5.714238253486629,4.593630439838537
"In-silico, 4 mm noise",GeoTransformer,0.45000000000000007,"[0.4, 0.5)",790,4.898831948222993,3.0868977652430183
"In-silico, 4 mm noise",GeoTransformer,0.55,"[0.5, 0.6)",806,4.5948416429477055,2.847555415629493
"In-silico, 4 mm noise",GeoTransformer,0.6500000000000001,"[0.6, 0.7)",777,4.294961125387341,2.7546899265707148
"In-silico, 4 mm noise",GeoTransformer,0.7500000000000002,"[0.7, 0.8)",802,4.125154598692706,2.6181476442886282
"In-silico, 4 mm noise",GeoTransformer,0.8500000000000002,"[0.8, 0.9)",840,3.9500417822883245,2.4189610896138847
"In-silico, 4 mm noise",GeoTransformer,0.9500000000000002,"[0.9, 1.0]",760,3.8037268873892334,2.472366195316321
"In-silico, 4 mm noise",RTOR,0.25,"[0.2, 0.3)",730,6.203800611953213,6.084228320084321
"In-silico, 4 mm noise",RTOR,0.3500000000000001,"[0.3, 0.4)",808,5.631504090705721,5.010296936434256
"In-silico, 4 mm noise",RTOR,0.45000000000000007,"[0.4, 0.5)",790,4.808420902792411,2.903706663744172
"In-silico, 4 mm noise",RTOR,0.55,"[0.5, 0.6)",806,4.578125473287502,2.8558938533104308
"In-silico, 4 mm noise",RTOR,0.6500000000000001,"[0.6, 0.7)",777,4.353723720617429,2.7839728282471214
"In-silico, 4 mm noise",RTOR,0.7500000000000002,"[0.7, 0.8)",802,4.223150325386304,2.634714047648315
"In-silico, 4 mm noise",RTOR,0.8500000000000002,"[0.8, 0.9)",840,4.108489920127959,2.469273951349341
"In-silico, 4 mm noise",RTOR,0.9500000000000002,"[0.9, 1.0]",760,4.001550758041834,2.5767370518680814
"In-silico, 4 mm noise",A3,0.25,"[0.2, 0.3)",730,6.551845855092349,7.153314796720618
"In-silico, 4 mm noise",A3,0.3500000000000001,"[0.3, 0.4)",808,5.583389500801516,3.719645400331774
"In-silico, 4 mm noise",A3,0.45000000000000007,"[0.4, 0.5)",790,4.873511870073367,3.0164636512946497
"In-silico, 4 mm noise",A3,0.55,"[0.5, 0.6)",806,4.5849759621596515,2.8337395109341807
"In-silico, 4 mm noise",A3,0.6500000000000001,"[0.6, 0.7)",777,4.2700338202553825,2.737385933592606
"In-silico, 4 mm noise",A3,0.7500000000000002,"[0.7, 0.8)",802,4.109301539356275,2.61394719912051
"In-silico, 4 mm noise",A3,0.8500000000000002,"[0.8, 0.9)",840,3.9402373785064335,2.422326532068445
"In-silico, 4 mm noise",A3,0.9500000000000002,"[0.9, 1.0]",760,3.8011712669149826,2.491177169582764
"In-silico, 4 mm noise",RTOR+A3,0.25,"[0.2, 0.3)",730,6.249499263665448,5.685310776173912
"In-silico, 4 mm noise",RTOR+A3,0.3500000000000001,"[0.3, 0.4)",808,5.545864920067315,3.73037714207157
"In-silico, 4 mm noise",RTOR+A3,0.45000000000000007,"[0.4, 0.5)",790,4.814525749336315,2.867391143479293
"In-silico, 4 mm noise",RTOR+A3,0.55,"[0.5, 0.6)",806,4.583054018893254,2.856064224379214
"In-silico, 4 mm noise",RTOR+A3,0.6500000000000001,"[0.6, 0.7)",777,4.341238370349815,2.753573448532491
"In-silico, 4 mm noise",RTOR+A3,0.7500000000000002,"[0.7, 0.8)",802,4.208351407339448,2.6293715244423597
"In-silico, 4 mm noise",RTOR+A3,0.8500000000000002,"[0.8, 0.9)",840,4.091730953114373,2.4701227129754226
"In-silico, 4 mm noise",RTOR+A3,0.9500000000000002,"[0.9, 1.0]",760,3.9726885175234394,2.5680429552086728
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.25,"[0.2, 0.3)",730,6.263750139164598,6.9204399835705015
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.3500000000000001,"[0.3, 0.4)",808,5.609709859115653,5.050357406829339
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.45000000000000007,"[0.4, 0.5)",790,4.839477882279626,2.9583943473201626
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.55,"[0.5, 0.6)",806,4.582356907297896,2.882905674626846
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.6500000000000001,"[0.6, 0.7)",777,4.343845649115368,2.78590832302118
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.7500000000000002,"[0.7, 0.8)",802,4.176289844282548,2.6278938795248936
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.8500000000000002,"[0.8, 0.9)",840,4.061277294513725,2.482635630886139
"In-silico, 4 mm noise",RTOR+A3 (cooperative),0.9500000000000002,"[0.9, 1.0]",760,3.931435884849021,2.557997053472724
In-vitro phantom,GeoTransformer,0.25,"[0.2, 0.3)",105,8.650091330210367,10.787483411709122
In-vitro phantom,GeoTransformer,0.3500000000000001,"[0.3, 0.4)",99,5.9743902442431205,3.154838021193748
In-vitro phantom,GeoTransformer,0.45000000000000007,"[0.4, 0.5)",102,5.367770634445489,2.525533489298496
In-vitro phantom,GeoTransformer,0.55,"[0.5, 0.6)",102,4.657888002255383,2.3024213849235906
In-vitro phantom,GeoTransformer,0.6500000000000001,"[0.6, 0.7)",97,4.183044168138013,1.99991486306571
In-vitro phantom,GeoTransformer,0.7500000000000002,"[0.7, 0.8)",115,4.220674440135126,1.9792943260204974
In-vitro phantom,GeoTransformer,0.8500000000000002,"[0.8, 0.9)",98,4.31793478800326,1.884204396918672
In-vitro phantom,GeoTransformer,0.9500000000000002,"[0.9, 1.0]",74,4.144789705405364,2.247810679620651
In-vitro phantom,RTOR,0.25,"[0.2, 0.3)",105,6.865950493585496,3.402294874480245
In-vitro phantom,RTOR,0.3500000000000001,"[0.3, 0.4)",99,5.562873593484513,2.930095722238175
In-vitro phantom,RTOR,0.45000000000000007,"[0.4, 0.5)",102,5.097183510368946,2.340546639735961
In-vitro phantom,RTOR,0.55,"[0.5, 0.6)",102,4.47908385477814,2.203552604520057
In-vitro phantom,RTOR,0.6500000000000001,"[0.6, 0.7)",97,4.144175700305664,1.9716231223576925
In-vitro phantom,RTOR,0.7500000000000002,"[0.7, 0.8)",115,4.2858407694360485,1.9557538937083043
In-vitro phantom,RTOR,0.8500000000000002,"[0.8, 0.9)",98,4.417209317489546,1.8673660154871017
In-vitro phantom,RTOR,0.9500000000000002,"[0.9, 1.0]",74,4.291453156922315,2.2517711668797156
In-vitro phantom,A3,0.25,"[0.2, 0.3)",105,8.561783520380656,10.19913811630044
In-vitro phantom,A3,0.3500000000000001,"[0.3, 0.4)",99,5.910092064828584,3.1310347928996527
In-vitro phantom,A3,0.45000000000000007,"[0.4, 0.5)",102,5.386933378144806,2.5283252058864867
In-vitro phantom,A3,0.55,"[0.5, 0.6)",102,4.661697215893689,2.283068934107395
In-vitro phantom,A3,0.6500000000000001,"[0.6, 0.7)",97,4.197520721818983,1.983372283409157
In-vitro phantom,A3,0.7500000000000002,"[0.7, 0.8)",115,4.238635046585746,1.9665451307444746
In-vitro phantom,A3,0.8500000000000002,"[0.8, 0.9)",98,4.314978458443466,1.8825045801524138
In-vitro phantom,A3,0.9500000000000002,"[0.9, 1.0]",74,4.1063064288448645,2.203402295740859
In-vitro phantom,RTOR+A3,0.25,"[0.2, 0.3)",105,7.480600375220889,7.264609896408458
In-vitro phantom,RTOR+A3,0.3500000000000001,"[0.3, 0.4)",99,5.686890727341777,2.963961658437633
In-vitro phantom,RTOR+A3,0.45000000000000007,"[0.4, 0.5)",102,5.112717570043078,2.3240359811611304
In-vitro phantom,RTOR+A3,0.55,"[0.5, 0.6)",102,4.499765274571438,2.170357362532585
In-vitro phantom,RTOR+A3,0.6500000000000001,"[0.6, 0.7)",97,4.146312000825233,1.9353304279721828
In-vitro phantom,RTOR+A3,0.7500000000000002,"[0.7, 0.8)",115,4.270580271015996,1.9570621416718126
In-vitro phantom,RTOR+A3,0.8500000000000002,"[0.8, 0.9)",98,4.419701160216818,1.874159773020498
In-vitro phantom,RTOR+A3,0.9500000000000002,"[0.9, 1.0]",74,4.257705156867568,2.2571007222420607
In-vitro phantom,RTOR+A3 (cooperative),0.25,"[0.2, 0.3)",105,6.858112837019421,3.3075356400789193
In-vitro phantom,RTOR+A3 (cooperative),0.3500000000000001,"[0.3, 0.4)",99,5.531440429013185,2.765051902182666
In-vitro phantom,RTOR+A3 (cooperative),0.45000000000000007,"[0.4, 0.5)",102,5.0914593876576895,2.292482891720362
In-vitro phantom,RTOR+A3 (cooperative),0.55,"[0.5, 0.6)",102,4.569178747195823,2.168228945237952
In-vitro phantom,RTOR+A3 (cooperative),0.6500000000000001,"[0.6, 0.7)",97,4.201256534487931,1.9501936098164068
In-vitro phantom,RTOR+A3 (cooperative),0.7500000000000002,"[0.7, 0.8)",115,4.310999171630196,1.9661387006049629
In-vitro phantom,RTOR+A3 (cooperative),0.8500000000000002,"[0.8, 0.9)",98,4.4014080629056815,1.8905880930144237
In-vitro phantom,RTOR+A3 (cooperative),0.9500000000000002,"[0.9, 1.0]",74,4.24617177731282,2.249705487920618
